OrphaCode,DisorderName,DisorderType,HPOTerm0,HPOFrequency0,HPOTerm1,HPOFrequency1,HPOTerm2,HPOFrequency2,HPOTerm3,HPOFrequency3,HPOTerm4,HPOFrequency4,HPOTerm5,HPOFrequency5,HPOTerm6,HPOFrequency6,HPOTerm7,HPOFrequency7,HPOTerm8,HPOFrequency8,HPOTerm9,HPOFrequency9,HPOTerm10,HPOFrequency10,HPOTerm11,HPOFrequency11
881,Turner syndrome,Malformation syndrome,Abnormality of the ovary,Very frequent (99-80%),Short neck,Very frequent (99-80%),Delayed puberty,Very frequent (99-80%),Increased circulating gonadotropin level,Very frequent (99-80%),Short sternum,Very frequent (99-80%),Osteopenia,Very frequent (99-80%),Osteoporosis,Very frequent (99-80%),Growth delay,Very frequent (99-80%),Intrauterine growth retardation,Very frequent (99-80%),Delayed skeletal maturation,Very frequent (99-80%),Cubitus valgus,Very frequent (99-80%),High urinary gonadotropins (primary hypogonadism),Very frequent (99-80%)
848,Beta-thalassemia,Disease,Abnormality of the skeletal system,Very frequent (99-80%),Pallor,Very frequent (99-80%),Splenomegaly,Very frequent (99-80%),Anemia,Very frequent (99-80%),Microcytic anemia,Very frequent (99-80%),Abnormal hemoglobin,Very frequent (99-80%),Hypogonadotrophic hypogonadism,Frequent (79-30%),Irritability,Frequent (79-30%),Abnormal skull morphology,Frequent (79-30%),Muscle weakness,Frequent (79-30%),Respiratory insufficiency,Frequent (79-30%),Hepatomegaly,Frequent (79-30%)
262,Duchenne and Becker muscular dystrophy,Clinical group,"Intellectual disability, mild",Occasional (29-5%),Gait disturbance,Very frequent (99-80%),Joint stiffness,Frequent (79-30%),Hypertrophic cardiomyopathy,Frequent (79-30%),Developmental regression,Occasional (29-5%),Scoliosis,Frequent (79-30%),Slender long bone,Frequent (79-30%),Myopathy,Very frequent (99-80%),Skeletal muscle atrophy,Very frequent (99-80%),Elevated serum creatine kinase,Very frequent (99-80%),Hyperlordosis,Frequent (79-30%),EMG abnormality,Very frequent (99-80%)
846,Alpha-thalassemia,Disease,Jaundice,Occasional (29-5%),Cholelithiasis,Occasional (29-5%),Splenomegaly,Occasional (29-5%),Hydrops fetalis,Occasional (29-5%),Hemolytic anemia,Occasional (29-5%),Anemia,Occasional (29-5%),Microcytic anemia,Very frequent (99-80%),Hypersplenism,Occasional (29-5%),Myelodysplasia,Occasional (29-5%),Abnormality of immune system physiology,Occasional (29-5%),Abnormal hemoglobin,Very frequent (99-80%),Cognitive impairment,Occasional (29-5%)
261,Emery-Dreifuss muscular dystrophy,Disease,Obesity,Occasional (29-5%),Dilated cardiomyopathy,Occasional (29-5%),Atrioventricular block,Occasional (29-5%),Pectus excavatum,Very frequent (99-80%),Reduced tendon reflexes,Very frequent (99-80%),Joint stiffness,Very frequent (99-80%),Myotonia,Very frequent (99-80%),Myopathy,Very frequent (99-80%),Elevated serum creatine kinase,Very frequent (99-80%),Limb-girdle muscular dystrophy,Very frequent (99-80%),Sprengel anomaly,Frequent (79-30%),Gait disturbance,Frequent (79-30%)
480,Kearns-Sayre syndrome,Disease,Hearing impairment,Frequent (79-30%),Progressive external ophthalmoplegia,Very frequent (99-80%),Anterior hypopituitarism,Frequent (79-30%),Ataxia,Frequent (79-30%),Muscular hypotonia,Frequent (79-30%),Reduced tendon reflexes,Frequent (79-30%),Third degree atrioventricular block,Very frequent (99-80%),Delayed skeletal maturation,Occasional (29-5%),Ragged-red muscle fibers,Frequent (79-30%),Skeletal muscle atrophy,Frequent (79-30%),EMG abnormality,Frequent (79-30%),Hemiplegia/hemiparesis,Occasional (29-5%)
597,Central core disease,Disease,Muscular hypotonia,Frequent (79-30%),Motor delay,Frequent (79-30%),Congenital hip dislocation,Frequent (79-30%),Joint laxity,Frequent (79-30%),Mitral valve prolapse,Frequent (79-30%),Talipes equinovarus,Frequent (79-30%),Pes planus,Frequent (79-30%),Malignant hyperthermia,Frequent (79-30%),Kyphoscoliosis,Frequent (79-30%),Multiple joint contractures,Frequent (79-30%),Myopathy,Frequent (79-30%),Easy fatigability,Frequent (79-30%)
324,Fabry disease,Disease,Renal insufficiency,Very frequent (99-80%),Abnormality of the renal tubule,Frequent (79-30%),Proteinuria,Frequent (79-30%),Nephrotic syndrome,Very frequent (99-80%),Nephropathy,Frequent (79-30%),Thick lower lip vermilion,Frequent (79-30%),Coarse facial features,Frequent (79-30%),Hearing impairment,Very frequent (99-80%),Sensorineural hearing impairment,Occasional (29-5%),Cataract,Frequent (79-30%),Conjunctival telangiectasia,Very frequent (99-80%),Optic atrophy,Frequent (79-30%)
72,Angelman syndrome,Malformation syndrome,Inguinal hernia,Occasional (29-5%),Wide mouth,Frequent (79-30%),Macroglossia,Very frequent (99-80%),Brachycephaly,Very frequent (99-80%),Microcephaly,Very frequent (99-80%),Abnormality of the face,Very frequent (99-80%),Mandibular prognathia,Very frequent (99-80%),Hypoplasia of the maxilla,Frequent (79-30%),Strabismus,Occasional (29-5%),Blue irides,Very frequent (99-80%),Widely spaced teeth,Frequent (79-30%),Behavioral abnormality,Very frequent (99-80%)
558,Marfan syndrome,Disease,Pectus carinatum,Very frequent (99-80%),Striae distensae,Very frequent (99-80%),Arachnodactyly,Very frequent (99-80%),Disproportionate tall stature,Very frequent (99-80%),Slender build,Very frequent (99-80%),Pes planus,Very frequent (99-80%),Spontaneous pneumothorax,Very frequent (99-80%),Dilatation of the ascending aorta,Very frequent (99-80%),Chronic fatigue,Very frequent (99-80%),Narrow face,Frequent (79-30%),Visual impairment,Frequent (79-30%),Myopia,Frequent (79-30%)
733,Familial adenomatous polyposis,Disease,Neoplasm,Frequent (79-30%),Colon cancer,Frequent (79-30%),Multiple gastric polyps,Very frequent (99-80%),Delayed eruption of teeth,Occasional (29-5%),Multiple lipomas,Occasional (29-5%),Duodenal polyposis,Very frequent (99-80%),Adenomatous colonic polyposis,Very frequent (99-80%),Irregular hyperpigmentation,Occasional (29-5%),Fibroma,Occasional (29-5%),Odontoma,Occasional (29-5%),Increased number of teeth,Occasional (29-5%),Neoplasm of the central nervous system,Occasional (29-5%)
100,Ataxia-telangiectasia,Disease,Abnormal testis morphology,Occasional (29-5%),Polycystic ovaries,Very frequent (99-80%),Strabismus,Very frequent (99-80%),Abnormality of eye movement,Very frequent (99-80%),Nystagmus,Very frequent (99-80%),Diabetes mellitus,Frequent (79-30%),Delayed puberty,Very frequent (99-80%),Seizures,Frequent (79-30%),Ataxia,Very frequent (99-80%),Spasticity,Frequent (79-30%),Dysarthria,Frequent (79-30%),Gait disturbance,Very frequent (99-80%)
870,Down syndrome,Malformation syndrome,Decreased fertility,Frequent (79-30%),Macroglossia,Frequent (79-30%),Narrow mouth,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),Thick lower lip vermilion,Frequent (79-30%),Narrow palate,Frequent (79-30%),Open mouth,Frequent (79-30%),Abnormality of the fontanelles or cranial sutures,Frequent (79-30%),Brachycephaly,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Conductive hearing impairment,Occasional (29-5%),Depressed nasal ridge,Frequent (79-30%)
138,CHARGE syndrome,Malformation syndrome,Cryptorchidism,Very frequent (99-80%),Hypogonadotrophic hypogonadism,Very frequent (99-80%),Micropenis,Very frequent (99-80%),Abnormality of the inner ear,Very frequent (99-80%),Hearing impairment,Very frequent (99-80%),Overfolded helix,Very frequent (99-80%),Anosmia,Very frequent (99-80%),Iris coloboma,Very frequent (99-80%),Delayed puberty,Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Abnormal cranial nerve morphology,Very frequent (99-80%),External ear malformation,Very frequent (99-80%)
534,Oculocerebrorenal syndrome of Lowe,Malformation syndrome,Inguinal hernia,Occasional (29-5%),Azoospermia,Occasional (29-5%),Cryptorchidism,Frequent (79-30%),Renal insufficiency,Very frequent (99-80%),Abnormality of the renal tubule,Very frequent (99-80%),Proteinuria,Very frequent (99-80%),Nephrocalcinosis,Occasional (29-5%),Abnormality of the dentition,Occasional (29-5%),Narrow palate,Occasional (29-5%),Open mouth,Occasional (29-5%),Thin upper lip vermilion,Occasional (29-5%),Gingivitis,Occasional (29-5%)
790,Retinoblastoma,Disease,Retinoblastoma,Obligate (100%),Strabismus,Frequent (79-30%),Glaucoma,Frequent (79-30%),Proptosis,Frequent (79-30%),Leukocoria,Frequent (79-30%),Hypopyon,Frequent (79-30%),Uveitis,Occasional (29-5%),Heterochromia iridis,Occasional (29-5%),Leukemia,Occasional (29-5%),Lymphoma,Occasional (29-5%),Osteosarcoma,Occasional (29-5%),Rhabdomyosarcoma,Occasional (29-5%)
908,Fragile X syndrome,Malformation syndrome,Macroorchidism,Very frequent (99-80%),Sinusitis,Frequent (79-30%),Macrocephaly,Frequent (79-30%),Narrow face,Frequent (79-30%),Long face,Frequent (79-30%),Mandibular prognathia,Frequent (79-30%),Otitis media,Frequent (79-30%),Chronic otitis media,Very frequent (99-80%),Protruding ear,Frequent (79-30%),Strabismus,Occasional (29-5%),Autism,Occasional (29-5%),Anxiety,Occasional (29-5%)
579,Mucopolysaccharidosis type 1,Disease,Inguinal hernia,Very frequent (99-80%),Thick lower lip vermilion,Frequent (79-30%),Gingival overgrowth,Frequent (79-30%),Everted lower lip vermilion,Frequent (79-30%),Hydrocephalus,Occasional (29-5%),Sinusitis,Very frequent (99-80%),Macrocephaly,Frequent (79-30%),Dolichocephaly,Frequent (79-30%),Abnormality of the face,Frequent (79-30%),Coarse facial features,Very frequent (99-80%),Full cheeks,Frequent (79-30%),Low anterior hairline,Frequent (79-30%)
567,22q11.2 deletion syndrome,Malformation syndrome,Vesicoureteral reflux,Occasional (29-5%),Polycystic kidney dysplasia,Occasional (29-5%),Abnormality of the uterus,Occasional (29-5%),Narrow mouth,Occasional (29-5%),Hydrocephalus,Occasional (29-5%),Microcephaly,Occasional (29-5%),Malar flattening,Frequent (79-30%),Epicanthus,Very frequent (99-80%),Long philtrum,Frequent (79-30%),Micrognathia,Occasional (29-5%),Low-set ears,Very frequent (99-80%),Small earlobe,Frequent (79-30%)
904,Williams syndrome,Malformation syndrome,Recurrent urinary tract infections,Occasional (29-5%),Abnormality of the bladder,Frequent (79-30%),Bladder diverticulum,Occasional (29-5%),Inguinal hernia,Frequent (79-30%),Functional abnormality of male internal genitalia,Occasional (29-5%),Cryptorchidism,Occasional (29-5%),Hypogonadotrophic hypogonadism,Occasional (29-5%),Renal duplication,Occasional (29-5%),Vesicoureteral reflux,Occasional (29-5%),Renal insufficiency,Frequent (79-30%),Renal hypoplasia,Occasional (29-5%),Proteinuria,Frequent (79-30%)
280,Wolf-Hirschhorn syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hypospadias,Very frequent (99-80%),Abnormality of the kidney,Frequent (79-30%),Abnormality of the genital system,Occasional (29-5%),Abnormality of the urinary system,Occasional (29-5%),Abnormality of the mouth,Very frequent (99-80%),Abnormality of the lip,Very frequent (99-80%),Cleft palate,Occasional (29-5%),Cleft upper lip,Frequent (79-30%),Microcephaly,Very frequent (99-80%),Dolichocephaly,Very frequent (99-80%),Epicanthus,Very frequent (99-80%)
96,Ataxia with vitamin E deficiency,Disease,Visual impairment,Occasional (29-5%),Nystagmus,Frequent (79-30%),Abnormality of visual evoked potentials,Occasional (29-5%),Nyctalopia,Frequent (79-30%),Sensory neuropathy,Frequent (79-30%),Diabetes mellitus,Occasional (29-5%),Ataxia,Very frequent (99-80%),Dysarthria,Frequent (79-30%),Mental deterioration,Occasional (29-5%),Hypertonia,Occasional (29-5%),Areflexia,Very frequent (99-80%),Gait disturbance,Frequent (79-30%)
3099,Rheumatic fever,Disease,Nephrotic syndrome,Occasional (29-5%),Sinusitis,Frequent (79-30%),Epistaxis,Occasional (29-5%),Behavioral abnormality,Occasional (29-5%),Pallor,Frequent (79-30%),Gait disturbance,Occasional (29-5%),Arthritis,Very frequent (99-80%),Subcutaneous nodule,Very frequent (99-80%),Abnormal mitral valve morphology,Frequent (79-30%),Abnormal aortic valve morphology,Frequent (79-30%),Abnormal heart valve morphology,Occasional (29-5%),Pericarditis,Occasional (29-5%)
47,X-linked agammaglobulinemia,Clinical subtype,Glossoptosis,Very frequent (99-80%),Sinusitis,Very frequent (99-80%),Chronic otitis media,Very frequent (99-80%),Sensorineural hearing impairment,Frequent (79-30%),Conjunctivitis,Very frequent (99-80%),Skin rash,Very frequent (99-80%),Hypopigmented skin patches,Occasional (29-5%),Meningitis,Frequent (79-30%),Arthritis,Frequent (79-30%),Failure to thrive,Very frequent (99-80%),Alopecia,Occasional (29-5%),Weight loss,Occasional (29-5%)
906,Wiskott-Aldrich syndrome,Disease,Nephropathy,Occasional (29-5%),Abnormality of the menstrual cycle,Occasional (29-5%),Gingival bleeding,Occasional (29-5%),Sinusitis,Very frequent (99-80%),Otitis media,Very frequent (99-80%),Chronic otitis media,Very frequent (99-80%),Epistaxis,Occasional (29-5%),Keratitis,Occasional (29-5%),Blepharitis,Occasional (29-5%),Conjunctivitis,Occasional (29-5%),Hypoplasia of the thymus,Occasional (29-5%),Eczema,Occasional (29-5%)
436,Hypophosphatasia,Disease,Abnormality of the dentition,Very frequent (99-80%),Large fontanelles,Very frequent (99-80%),Irritability,Frequent (79-30%),Abnormality of the ribs,Very frequent (99-80%),Narrow chest,Very frequent (99-80%),Abnormality of the metaphysis,Very frequent (99-80%),Skin dimple over apex of long bone angulation,Very frequent (99-80%),Seizures,Frequent (79-30%),Muscular hypotonia,Frequent (79-30%),Craniosynostosis,Very frequent (99-80%),Failure to thrive in infancy,Very frequent (99-80%),Anemia,Frequent (79-30%)
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,Clinical subtype,Hydrocephalus,Very frequent (99-80%),Coarse facial features,Occasional (29-5%),Strabismus,Occasional (29-5%),Nystagmus,Occasional (29-5%),Adducted thumb,Frequent (79-30%),Seizures,Occasional (29-5%),Spasticity,Very frequent (99-80%),Agenesis of corpus callosum,Occasional (29-5%),Absent septum pellucidum,Occasional (29-5%),Holoprosencephaly,Occasional (29-5%),Joint stiffness,Occasional (29-5%),Aqueductal stenosis,Very frequent (99-80%)
481,Kennedy disease,Disease,Testicular atrophy,Occasional (29-5%),Decreased fertility,Very frequent (99-80%),Gynecomastia,Very frequent (99-80%),Muscular hypotonia,Very frequent (99-80%),Dysarthria,Very frequent (99-80%),Hyporeflexia,Very frequent (99-80%),Gait disturbance,Very frequent (99-80%),Dysphonia,Very frequent (99-80%),Abnormality of lipid metabolism,Occasional (29-5%),Skeletal muscle atrophy,Very frequent (99-80%),Type II diabetes mellitus,Occasional (29-5%),Abnormality of movement,Very frequent (99-80%)
783,Rubinstein-Taybi syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),High palate,Very frequent (99-80%),Microcephaly,Frequent (79-30%),Epicanthus,Frequent (79-30%),Hypertelorism,Very frequent (99-80%),Micrognathia,Frequent (79-30%),Hearing impairment,Occasional (29-5%),Low-set ears,Very frequent (99-80%),Wide nasal bridge,Frequent (79-30%),Convex nasal ridge,Very frequent (99-80%),Strabismus,Frequent (79-30%)
429,Hypochondroplasia,Disease,Macrocephaly,Occasional (29-5%),Abnormality of the metaphysis,Frequent (79-30%),Brachydactyly,Very frequent (99-80%),Intellectual disability,Occasional (29-5%),Short toe,Very frequent (99-80%),Abnormality of pelvic girdle bone morphology,Frequent (79-30%),Scoliosis,Occasional (29-5%),Skeletal dysplasia,Very frequent (99-80%),Osteoarthritis,Occasional (29-5%),Abnormality of femur morphology,Frequent (79-30%),Genu varum,Frequent (79-30%),Micromelia,Very frequent (99-80%)
181,X-linked hypohidrotic ectodermal dysplasia,Etiological subtype,Everted lower lip vermilion,Very frequent (99-80%),Depressed nasal ridge,Very frequent (99-80%),Delayed eruption of teeth,Very frequent (99-80%),Microdontia,Very frequent (99-80%),Hypertension,Occasional (29-5%),Anterior hypopituitarism,Occasional (29-5%),Hypohidrosis,Very frequent (99-80%),Hypotrichosis,Very frequent (99-80%),Frontal bossing,Frequent (79-30%),Sparse body hair,Very frequent (99-80%),Short distal phalanx of finger,Occasional (29-5%),Everted upper lip vermilion,Very frequent (99-80%)
636,Neurofibromatosis type 1,Disease,Cryptorchidism,Frequent (79-30%),Tall stature,Frequent (79-30%),Hearing abnormality,Frequent (79-30%),Hearing impairment,Frequent (79-30%),Abnormality of the eye,Frequent (79-30%),Abnormality of vision,Frequent (79-30%),Proptosis,Frequent (79-30%),Heterochromia iridis,Frequent (79-30%),Ataxia,Frequent (79-30%),Freckling,Frequent (79-30%),Neurological speech impairment,Frequent (79-30%),Headache,Frequent (79-30%)
379,Chronic granulomatous disease,Disease,Gingivitis,Occasional (29-5%),Sinusitis,Very frequent (99-80%),Otitis media,Very frequent (99-80%),Eczema,Occasional (29-5%),Cutaneous photosensitivity,Very frequent (99-80%),Hypermelanotic macule,Very frequent (99-80%),Meningitis,Occasional (29-5%),Splenomegaly,Occasional (29-5%),Abnormality of neutrophils,Very frequent (99-80%),Fever,Very frequent (99-80%),Pyloric stenosis,Very frequent (99-80%),Malabsorption,Very frequent (99-80%)
394,Classic homocystinuria,Disease,High palate,Occasional (29-5%),Glaucoma,Occasional (29-5%),Cataract,Occasional (29-5%),Retinal detachment,Occasional (29-5%),Myopia,Frequent (79-30%),Amblyopia,Frequent (79-30%),Optic atrophy,Occasional (29-5%),Dental crowding,Very frequent (99-80%),Behavioral abnormality,Occasional (29-5%),Psychosis,Occasional (29-5%),Pectus excavatum,Frequent (79-30%),Pectus carinatum,Frequent (79-30%)
281,Monosomy 5p,Malformation syndrome,Inguinal hernia,Occasional (29-5%),High palate,Frequent (79-30%),Microcephaly,Very frequent (99-80%),Epicanthus,Very frequent (99-80%),Microretrognathia,Very frequent (99-80%),Round face,Very frequent (99-80%),Hypertelorism,Frequent (79-30%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Preauricular skin tag,Occasional (29-5%),Wide nasal bridge,Very frequent (99-80%),Short neck,Frequent (79-30%),Downslanted palpebral fissures,Frequent (79-30%)
649,Norrie disease,Malformation syndrome,Cryptorchidism,Occasional (29-5%),Thin vermilion border,Occasional (29-5%),Microcephaly,Occasional (29-5%),Malar flattening,Occasional (29-5%),Abnormal cochlea morphology,Frequent (79-30%),Macrotia,Very frequent (99-80%),Sensorineural hearing impairment,Occasional (29-5%),Protruding ear,Occasional (29-5%),Narrow nasal bridge,Very frequent (99-80%),Deeply set eye,Very frequent (99-80%),Glaucoma,Occasional (29-5%),Cataract,Very frequent (99-80%)
682,Hyperkalemic periodic paralysis,Disease,Ophthalmoparesis,Occasional (29-5%),Hypertonia,Occasional (29-5%),Gait disturbance,Frequent (79-30%),Reduced tendon reflexes,Very frequent (99-80%),Flexion contracture,Occasional (29-5%),Death in infancy,Occasional (29-5%),Congestive heart failure,Occasional (29-5%),Malignant hyperthermia,Occasional (29-5%),Respiratory insufficiency,Occasional (29-5%),Hyperkalemia,Frequent (79-30%),Fasciculations,Frequent (79-30%),Myotonia,Frequent (79-30%)
800,Schwartz-Jampel syndrome,Disease,Inguinal hernia,Occasional (29-5%),Abnormality of the ureter,Occasional (29-5%),Abnormality of the urinary system,Occasional (29-5%),Narrow mouth,Very frequent (99-80%),Cleft palate,Occasional (29-5%),Pursed lips,Very frequent (99-80%),Trismus,Very frequent (99-80%),High palate,Frequent (79-30%),Everted lower lip vermilion,Very frequent (99-80%),Microcephaly,Occasional (29-5%),Full cheeks,Very frequent (99-80%),Low anterior hairline,Occasional (29-5%)
628,Diastrophic dwarfism,Disease,Cryptorchidism,Occasional (29-5%),Cleft palate,Frequent (79-30%),Macrocephaly,Very frequent (99-80%),Full cheeks,Frequent (79-30%),Hypertelorism,Frequent (79-30%),Micrognathia,Occasional (29-5%),Hearing impairment,Occasional (29-5%),"Low-set, posteriorly rotated ears",Frequent (79-30%),Overfolded helix,Frequent (79-30%),Blue sclerae,Frequent (79-30%),Abnormality of the ribs,Very frequent (99-80%),Abnormality of the clavicle,Very frequent (99-80%)
648,Noonan syndrome,Malformation syndrome,Cryptorchidism,Frequent (79-30%),Hypogonadotrophic hypogonadism,Very frequent (99-80%),Abnormality of the genital system,Frequent (79-30%),Thick lower lip vermilion,Very frequent (99-80%),High palate,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Triangular face,Very frequent (99-80%),Micrognathia,Very frequent (99-80%),High forehead,Very frequent (99-80%),"Low-set, posteriorly rotated ears",Very frequent (99-80%),Thickened helices,Very frequent (99-80%),Sensorineural hearing impairment,Occasional (29-5%)
